algorithm,objective,dims,runs,success_ratio,success_pct,avg_clicks,avg_time_ms,avg_guesses,avg_completion,avg_time_per_click_ms,avg_completion_per_click,avg_guess_rate
global_sat,MinRotation,6x6x6,30,0.8,80.0,54.53333333333333,4184.933333333333,1.4,88.38966666666667,69.6264484317472,1.718438338772115,0.08996384708761117
greedy,MaxInformation,6x6x6,30,0.0,0.0,8.633333333333333,6.7,8.633333333333333,48.876,0.8984332824038705,7.181341841524489,1.0
greedy,MinDistance,6x6x6,30,0.0,0.0,9.233333333333333,6.766666666666667,9.233333333333333,46.535999999999994,0.8148478835978835,7.651431018518519,1.0
greedy,MinRotation,6x6x6,30,0.0,0.0,9.333333333333334,5.8,9.333333333333334,47.434333333333335,0.670030183675345,7.7286340137461105,1.0
partitioned_sat,MaxInformation,6x6x6,30,0.8,80.0,57.86666666666667,8729.566666666668,1.4,88.38966666666667,128.13323469319278,1.6333318839434317,0.08902531780931212
partitioned_sat,MinDistance,6x6x6,30,0.8,80.0,54.8,3981.4333333333334,1.4,88.38966666666667,61.81106329029188,1.7072611986974242,0.08974447849569894
partitioned_sat,MinRotation,6x6x6,30,0.8,80.0,55.5,2709.0,1.4,88.38966666666667,44.13993080553325,1.6902013686430877,0.08957620857333409
scip_solver,MaxInformation,6x6x6,30,0.9666666666666667,96.66666666666667,63.733333333333334,28045.8,1.1666666666666667,97.00366666666667,425.30278525495845,1.6102699105850737,0.04333282396649733
scip_solver,MinDistance,6x6x6,30,0.8333333333333334,83.33333333333334,56.63333333333333,21507.5,1.3666666666666667,90.86133333333333,351.7621806372807,1.8088905566612594,0.09448213089683792
scip_solver,MinRotation,6x6x6,30,0.8666666666666667,86.66666666666667,57.233333333333334,20392.833333333332,1.3333333333333333,93.95133333333334,341.9580260287213,1.7839796440421247,0.06166899233456765
exact_solver,MaxInformation,7x7x7,30,0.0,0.0,44.666666666666664,1888.5666666666666,5.033333333333333,64.75166666666667,34.0870445287254,1.5129066667144933,0.17514535725312516
exact_solver,MinDistance,7x7x7,30,0.0,0.0,42.8,1804.8333333333333,4.333333333333333,65.89533333333333,34.74322105754628,1.7732180631855325,0.18740870922924796
exact_solver,MinRotation,7x7x7,30,0.0,0.0,39.53333333333333,1560.1666666666667,2.8333333333333335,62.56233333333333,30.949433046932292,1.8686821070953579,0.15392111060946992
